title,list_price,bedrooms,bathrooms,sqft,full_link,full_address,postal_code,lat,long,type,Sold on,style,age,tax,sqft_min,sqft_max,sqft_avg
57 - 270 Timberbank Boulevard,699888,3.0,3.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/270-timberbank-boulevard/57,"270 Timberbank boulevard, Toronto ",M1W2M1,43.7969,-79.3075,Townhouse,2022-03-14,house,No Data,"$2,188 /yr",1400,1599,1499.5
24 Marlebon Road,999900,3.0,2.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/24-marlebon-road,"24 Marlebon road, Toronto ",M9V3W2,43.749,-79.6034,Detached,2022-03-14,detached,No Data,"$3,147 /yr",1500,2000,1750.0
34 Ferris Road,1199000,2.0,2.0,700-1100 ,https://www.zolo.ca/toronto-real-estate/34-ferris-road,"34 Ferris road, Toronto ",M4B1G3,43.7013,-79.3082,Detached,2022-03-14,detached,No Data,"$4,063 /yr",700,1100,900.0
Ph37 - 300 Mill Road,949000,3.0,3.0,1800-1999 ,https://www.zolo.ca/toronto-real-estate/300-mill-road/ph37,"300 Mill road, Toronto ",M9C4W7,43.6387,-79.5843,Condo,2022-03-14,house,No Data,"$3,080 /yr",1800,1999,1899.5
1611 - 31 Tippett Road,899000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/31-tippett-road/1611,"31 Tippett road, Toronto M",3H 0C8,43.7335,-79.4461,Condo,2022-03-14,Apt,No Data,No Data,800,899,849.5
258 Patricia Avenue,2998000,4.0,7.0,3500-5000 ,https://www.zolo.ca/toronto-real-estate/258-patricia-avenue,"258 Patricia avenue, Toronto ",M2M1J8,43.7874,-79.4321,Detached,2022-03-14,house,No Data,"$13,162 /yr",3500,5000,4250.0
303 - 2150 Lawrence Avenue East,649000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/2150-lawrence-avenue-east/303,"2150 Lawrence avenue, Toronto ",M1R3A7,43.7479,-79.2862,Condo,2022-03-14,Apt,No Data,"$1,861 /yr",800,899,849.5
608 - 33 Charles Street East,749000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/33-charles-street-east/608,"33 Charles street, Toronto M",4Y 0A2,43.6686,-79.3845,Condo,2022-03-14,Apt,No Data,"$2,872 /yr",600,699,649.5
5 - 13 Eaton Park Lane,699000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/13-eaton-park-lane/5,"13 Eaton Park Lane, Toronto ",M1W0A5,43.7943,-79.31,Townhouse,2022-03-14,house,No Data,"$2,194 /yr",1000,1199,1099.5
112 Beverley Street,2268000,6.0,6.0,2500-3000 ,https://www.zolo.ca/toronto-real-estate/112-beverley-street,"112 Beverley street, Toronto ",M5T1Y2,43.6534,-79.3939,Duplex,2022-03-14,house,No Data,"$7,357 /yr",2500,3000,2750.0
1808 - 170 Fort York Boulevard,599000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/170-fort-york-boulevard/1808,"170 Fort York boulevard, Toronto ",M5V0E6,43.6394,-79.3997,Condo,2022-03-14,Apt,No Data,"$1,729 /yr",500,599,549.5
41 Claymore Drive,1400000,3.0,2.0,1100-1500 ,https://www.zolo.ca/toronto-real-estate/41-claymore-drive,"41 Claymore Drive, Toronto ",M8Z2S3,43.6365,-79.5139,Detached,2022-03-14,detached,No Data,"$5,591 /yr",1100,1500,1300.0
212 - 230 King Street East,689000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/230-king-street-east/212,"230 King street, Toronto ",M5A1K5,43.6516,-79.3679,Condo,2022-03-14,Apt,No Data,"$2,444 /yr",700,799,749.5
54 Wycombe Road,1200000,3.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/54-wycombe-road,"54 Wycombe road, Toronto ",M3M2W7,43.7427,-79.4886,Att/Row/Twnhouse,2022-03-14,house,No Data,"$3,189 /yr",1500,2000,1750.0
Ph03 - 18 Stafford Street,699000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/18-stafford-street/ph03,"18 Stafford street, Toronto ",M5V3W4,43.6414,-79.4107,Condo,2022-03-14,Apt,No Data,"$2,536 /yr",700,799,749.5
2808 - 159 Wellesley Street East,949000,3.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/159-wellesley-street-east/2808,"159 Wellesley street, Toronto ",M4Y0H5,43.6666,-79.375,Condo,2022-03-14,Apt,No Data,"$3,119 /yr",800,899,849.5
407 - 156 Portland Street,659000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/156-portland-street/407,"156 Portland street, Toronto ",M5V0G1,43.6471,-79.4014,Condo,2022-03-14,Apt,No Data,"$2,469 /yr",600,699,649.5
10 Sawden Avenue,1099000,2.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/10-sawden-avenue,"10 Sawden avenue, Toronto ",M4L1V9,43.6683,-79.3304,Semi-Detached,2022-03-12,house,No Data,"$4,265 /yr",1500,2000,1750.0
3013 - 33 Harbour Square,499000,0.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/33-harbour-square/3013,"33 Harbour square, Toronto ",M5J2G2,43.6399,-79.3772,Condo,2022-03-13,Apt,No Data,"$1,833 /yr",500,599,549.5
808 - 19 Grand Truck Crescent,728000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/19-grand-truck-crescent/808,"19 Grand Truck Crescent, Toronto ",M5J3A3,43.6417,-79.3827,Condo,2022-03-13,Apt,No Data,"$2,279 /yr",600,699,649.5
